[0809/183542.899:ERROR:backend_impl.cc(1041)] Critical error found -8
[0809/183543.811:WARNING:storage_block-inl.h(146)] Failed data load.
[0809/183741.702:ERROR:gpu_init.cc(426)] Passthrough is not supported, GL is disabled
[0809/230539.169:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0809/230539.174:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0809/230544.178:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0809/230544.196:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0809/230549.180:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0809/230549.204:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0809/230554.183:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0809/230554.220:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0809/230559.186:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0809/230559.227:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0809/230604.190:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0809/230604.244:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0809/230609.193:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0809/230609.253:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0809/230614.195:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0809/230614.257:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0809/230619.198:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0809/230619.265:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0809/230624.200:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0809/230624.282:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0809/230629.202:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0809/230629.290:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0809/230634.205:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0809/230634.293:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0809/230639.209:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0809/230639.305:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0809/230644.212:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0809/230644.312:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0809/230649.216:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0809/230649.316:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0809/230654.218:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0809/230654.317:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
